date,fund_growth,benchmark_growth,fund_minus_benchmark
2022-06-07,450.24603608529253,261.6387068015459,188.60732928374665
2022-06-08,450.8474576271187,264.51386129804365,186.33359632907502
2022-06-09,449.8633132859486,263.6923407617922,186.1709725241564
2022-06-13,437.5068343357026,253.73202753143008,183.77480680427252
2022-06-14,434.3903772553308,253.32131131077338,181.06906594455742
2022-06-15,425.25970475669766,252.08909217285284,173.17061258384481
2022-06-16,418.20667031164567,251.5756924922851,166.63097781936057
2022-06-20,415.96500820120286,245.92804934021297,170.0369588609899
2022-06-21,401.4215418261345,250.95955649484335,150.46198533129115
2022-06-22,401.80426462547837,245.41463204065758,156.3896325848208
2022-06-23,403.33515582285406,242.1287613235031,161.20639449935095
2022-06-27,407.8731547293603,248.3925052350417,159.48064949431858
2022-06-28,406.1235647895025,246.03073280012404,160.09283198937845
2022-06-29,394.47785675232376,243.9770636019025,150.50079315042126
2022-06-30,376.98195735374526,237.81603838825026,139.165918965495
2022-07-04,378.2941498086386,226.82883770181448,151.46531210682414
2022-07-05,365.44559868780755,227.95837337982397,137.48722530798358
2022-07-06,376.2165117550574,223.54296698466004,152.67354477039737
2022-07-07,378.4034991798797,230.21740949786766,148.18608968201204
2022-07-11,363.25861126298526,230.52549511557615,132.7331161474091
2022-07-12,366.3203936577365,224.98053542341512,141.33985823432135
2022-07-13,373.5921268452707,232.989898153442,140.60222869182869
2022-07-14,380.59048660470205,234.1193985934762,146.47108801122585
2022-07-18,384.4723892837616,238.24301693448996,146.2293723492716
2022-07-19,391.68944778567527,238.45164336702376,153.2378044186515
2022-07-20,401.5855658829962,240.01629756355828,161.56926831943792
2022-07-21,398.8518316019683,242.72833547257207,156.12349612939622
2022-07-25,394.04045926735915,243.45850155795898,150.58195770940017
2022-07-26,397.5943138326955,241.26802092078591,156.32629291190958
2022-07-27,395.0792782941499,243.45850155795898,151.62077673619092
2022-07-28,397.81301257517777,243.87575442302662,153.93725815215114
2022-08-01,388.2449425915802,245.44037338158586,142.80456920999433
2022-08-02,387.2061235647895,241.5315833567519,145.6745402080376
2022-08-03,386.49535265172227,242.99476980352185,143.50058284820042
2022-08-04,395.0246036085293,243.62182957329455,151.40277403523473
2022-08-08,394.47785675232376,249.26557892910031,145.21227782322345
2022-08-09,389.39311098961184,249.05658249782627,140.33652849178557
2022-08-10,395.4620010934937,246.44370425119743,149.01829684229628
2022-08-11,398.9065062875888,250.93783228309485,147.96867400449395
2022-08-15,404.59267359212686,254.80484768825667,149.78782590387019
