index,date,strategy_equity,benchmark_equity
169,2017-02-08,123.20937314544237,117.75198970694322
170,2017-02-09,123.54954440782298,118.16226530395923
171,2017-02-10,123.72003817728589,119.47522037992042
172,2017-02-13,124.64132649317425,119.72136412104753
173,2017-02-14,124.75300562936091,120.13166466085103
174,2017-02-15,125.2156361649594,121.28045462387335
175,2017-02-16,124.46931508260464,120.54198182917952
176,2017-02-17,124.28995888994439,120.37782503050316
177,2017-02-20,124.83122684092285,119.96752449069967
178,2017-02-21,124.87905335415572,120.21371811740177
179,2017-02-22,125.4896672449721,120.29576325968999
180,2017-02-23,125.70625546481186,119.96752449069969
181,2017-02-24,125.5815140785803,120.04957794725038
182,2017-03-01,125.22746993018562,118.73667275686417
183,2017-03-02,125.5800246875559,119.06491984011694
184,2017-03-03,125.50610160358772,118.32638053132315
185,2017-03-06,125.80459855723694,118.40844230213636
186,2017-03-07,126.55604440761599,118.90078798422807
187,2017-03-08,126.88536168875687,119.5572239508962
188,2017-03-09,125.67696438245939,118.24436033182245
189,2017-03-10,124.74834606994885,118.16226530395929
190,2017-03-13,125.54174981491026,118.98284144077878
191,2017-03-14,126.45728344823536,119.80341757759828
192,2017-03-15,126.47585956097298,119.55722395089619
193,2017-03-16,127.9731799669142,121.11633939650947
194,2017-03-17,128.76321603041296,121.44456985123728
195,2017-03-20,128.7988248681155,121.36250808042408
196,2017-03-21,130.00166575723577,122.92161521177488
197,2017-03-22,128.92920066365951,121.7727670489151
198,2017-03-23,129.15036757371522,122.01899393266716
199,2017-03-24,128.8200473595547,121.85486207677828
200,2017-03-27,128.3930206686807,121.7727670489151
201,2017-03-28,128.33368337025124,121.85486207677828
202,2017-03-29,129.08356677065697,121.44456985123728
203,2017-03-30,128.67582835498806,121.28045462387337
204,2017-03-31,128.24835769139585,120.95223248340805
205,2017-04-05,129.1259203635939,122.51133961475885
206,2017-04-06,128.60829683932988,122.10103076069286
207,2017-04-07,128.58021127593054,121.60868507860117
208,2017-04-10,128.96374724061423,121.77276704891509
209,2017-04-11,127.64028873517618,121.28045462387335
210,2017-04-12,127.5439191564959,121.52663993631295
211,2017-04-13,127.2857925835428,122.10103076069285
212,2017-04-14,125.93210596864147,120.70603054244346
213,2017-04-17,126.1621303442644,120.78812557030662
214,2017-04-18,127.00966266845026,120.78812557030662
215,2017-04-19,125.78205382342682,119.4752203799204
216,2017-04-20,125.69309913065517,119.4752203799204
217,2017-04-21,127.05352739431179,120.62398540015525
218,2017-04-24,126.3864248235801,120.87019565538232
219,2017-04-25,128.5082860670933,122.01899393266713
220,2017-04-26,129.39175157371375,122.34719944460745
221,2017-04-27,128.78042900341364,122.26514598805674
222,2017-04-28,129.6798983382756,122.34719944460745
223,2017-05-02,130.25552812110044,123.41393595107908
