rebalance_date,rank,symbol,name,score,residual_z,momentum,volatility
2023-02-21,20,2207.TW,和泰車,0.3209302978660181,-0.3488600353021021,0.040058848056140794,0.27966889503822157
2023-02-21,21,3017.TW,奇鋐,0.20246649519280907,-0.2256143966352181,0.13440816051862958,0.4679383841595294
2023-02-21,22,3189.TW,景碩,0.20196705843797036,-0.45704180090059426,-0.49987401960023203,0.5341255706836182
2023-02-21,23,3653.TW,健策,0.16408875649043175,-0.2067014757203059,0.10211303854102449,0.5223485514615516
2023-02-21,24,8046.TW,南電,0.1480908758032769,-0.41187951839250675,-0.5195249314286073,0.5463661105947821
2023-02-21,25,1303.TW,南亞,0.11793711209780475,-0.1709414079216464,-0.06303794194062118,0.20627344096416148
2023-02-21,26,6274.TWO,台燿,0.11703715334599615,-0.2927052061924644,-0.32577011920434196,0.4109900741663236
2023-02-21,27,2356.TW,英業達,0.1130199339877163,-0.10985019906316201,0.09481178180719096,0.20009592471975024
2023-02-21,28,3008.TW,大立光,0.1095962816007714,-0.13193897915030878,0.09187563857688819,0.36332780700965506
2023-02-21,29,1476.TW,儒鴻,0.019339507973613244,-0.1355938209685376,-0.16405801216121918,0.3922267249233175
2023-02-21,30,3706.TW,神達,0.003935801274199884,-0.03842846773154582,-0.02131349180458675,0.1802196288382705
2023-05-29,1,6415.TW,矽力*-KY,2.1319195530416493,-2.3551704739632164,-0.37715902263849665,0.6083017533206224
2023-05-29,2,5871.TW,中租-KY,2.086380198730498,-2.0892712185482933,0.15607855034270135,0.3834567495849376
2023-05-29,3,1590.TW,亞德客-KY,1.8215657077947942,-1.798092132474427,0.24877482850442978,0.423984097707888
2023-05-29,4,1476.TW,儒鴻,1.258924725238582,-1.3328903438963087,-0.06642585481285768,0.33811046315484417
2023-05-29,5,2317.TW,鴻海,1.2013799876804945,-1.2153345327779639,0.036420100788114196,0.17801053582206164
2023-05-29,6,3034.TW,聯詠,1.036285432289636,-1.0002557780275791,0.2597580999732989,0.3659045381906525
2023-05-29,7,2303.TW,聯電,1.008740182062303,-1.0243623547105007,0.09858056524850234,0.3341691365678244
2023-05-29,8,1326.TW,台化,0.9887908111147232,-1.033149939892844,-0.053036163590708174,0.1719764768091535
2023-05-29,9,3105.TWO,穩懋,0.9864190635860295,-1.1241776240841128,-0.1763692182844877,0.506862227323417
2023-05-29,10,3529.TWO,力旺,0.9213740063522105,-0.8757353696729564,0.39086008372025294,0.6077492841522294
2023-05-29,11,1101.TW,台泥,0.8861227693847391,-0.9071026787593861,0.03200965159214619,0.2145552495459875
2023-05-29,12,1301.TW,台塑,0.8354903872640181,-0.8658775424671127,-0.0124776236740195,0.1734665794479188
2023-05-29,13,2409.TW,友達,0.8250996947878328,-0.8903976421944927,-0.015770048826102,0.39852286878349436
2023-05-29,14,9910.TW,豐泰,0.8151152110810441,-0.8281937774105279,0.1116095913440136,0.3476128219992569
2023-05-29,15,3481.TW,群創,0.7928022263123542,-0.8169950803124464,0.09510850997345943,0.3832055499386864
2023-05-29,16,2354.TW,鴻準,0.7876294114188545,-0.842768935449076,-0.05647058909092029,0.23583211898932954
2023-05-29,17,1303.TW,南亞,0.7761040219515681,-0.7849569827264472,0.05957099307364544,0.19801872233769993
2023-05-29,18,2344.TW,華邦電,0.7454675329100828,-0.8102603691697966,-0.02708339527845982,0.36875765274835187
2023-05-29,19,2049.TW,上銀,0.7191870639641711,-0.7377255667516498,0.10566933575035464,0.3701518020006857
2023-05-29,20,2615.TW,萬海,0.6882668149256411,-0.9400584433815047,-0.5139254236716613,0.47945153447188116
2023-05-29,21,6488.TWO,環球晶,0.6860836988001503,-0.7719278428767146,-0.07210830532832857,0.40404158141099494
2023-05-29,22,6669.TW,緯穎,0.6808763262621549,-0.6543007541081374,0.2845234783573234,0.4867176351403041
2023-05-29,23,3533.TW,嘉澤,0.6682059109208585,-0.6708896597579471,0.1648844583541722,0.40262206174032605
2023-05-29,24,3045.TW,台灣大,0.6259288320794728,-0.6432019616855117,0.007239302902551259,0.13204590414621223
2023-05-29,25,1102.TW,亞泥,0.6076989245055702,-0.6122650150781807,0.05517552848281082,0.1591835036106284
2023-05-29,26,4966.TWO,譜瑞-KY,0.5743356696321962,-0.7665221732947461,-0.30252765532146586,0.5753454953335796
2023-05-29,27,2603.TW,長榮,0.5724460148622589,-0.8131854759020252,-0.4903652493817865,0.460744158374273
2023-05-29,28,6409.TW,旭隼,0.5276563958038549,-0.46760936356940086,0.3612075863363231,0.44250415322172726
2023-05-29,29,2002.TW,中鋼,0.5057759478149247,-0.547806458608837,-0.028188042588221274,0.21443130592023252
2023-05-29,30,2609.TW,陽明,0.4271116969655803,-0.6187018796281031,-0.3768605439449413,0.3979266152119555
2023-08-29,1,3231.TW,緯創,3.622664964002857,-2.6638931373716215,2.953481861702936,0.49964549976527706
2023-08-29,2,2356.TW,英業達,2.9268793852141535,-2.540563173459265,1.2927450133946499,0.44096361955492624
2023-08-29,3,2395.TW,研華,2.761638445808829,-2.7542622374367443,0.14531139686697414,0.2898852035423728
2023-08-29,4,3665.TW,貿聯-KY,2.6533358095941497,-2.773536803977829,-0.18942680494623698,0.3593440843499768
2023-08-29,5,3706.TW,神達,2.4867008362673073,-2.3714144127874928,0.48887577661309956,0.37213398889846855
2023-08-29,6,2377.TW,微星,2.2300065638874558,-2.0650695738207188,0.6055929245094971,0.31347022341058034
2023-08-29,7,3443.TW,創意,2.0618760862275423,-1.570341910684244,1.6725228947629907,0.6256589174916565
2023-08-29,8,3105.TWO,穩懋,1.8384300371313629,-1.983406999160368,-0.21489762005662272,0.465085300061248
2023-08-29,9,6669.TW,緯穎,1.5637894194510213,-1.194870625511158,1.2833725986908453,0.5350774373462177
2023-08-29,10,1504.TW,東元,1.5133954760817012,-1.2951312919359517,0.7719974446337345,0.34623280984038224
2023-08-29,11,2382.TW,廣達,1.5022554598816085,-0.8201365210114198,2.138288382031793,0.441879965606259
2023-08-29,12,6409.TW,旭隼,1.3817927395696445,-1.4541662129086232,-0.029904828072186085,0.41271189009142356
2023-08-29,13,1476.TW,儒鴻,1.239339781855862,-1.2389280340970406,0.13531109107304018,0.3129808941116183
2023-08-29,14,6239.TW,力成,1.1919632860926723,-1.1521887437424512,0.1996983304058999,0.20079915527895895
2023-08-29,15,2886.TW,兆豐金,1.1675510802443034,-1.1747659965410016,0.05218241469865004,0.16985840960817214
2023-08-29,16,2408.TW,南亞科,1.1403321534959212,-1.0935148155286583,0.276134487767685,0.3321982183428455
2023-08-29,17,6274.TWO,台燿,1.122423096243591,-0.7205361001047619,1.3645058116743911,0.5046002529813841
2023-08-29,18,3481.TW,群創,1.1157510625635854,-1.0767801370612555,0.26899750890265306,0.36785468409065886
2023-08-29,19,1326.TW,台化,1.066414783243363,-1.1278356208833968,-0.10887139429849568,0.15543899757040236
2023-08-29,20,2409.TW,友達,1.0373082749269025,-1.0649639228560086,0.0809160960785047,0.3731752103772182
2023-08-29,21,2891.TW,中信金,1.0321474897629364,-1.050259122186242,0.028954127069592772,0.18830384598442218
2023-08-29,22,9914.TW,美利達,1.0109246079840837,-1.123174775281356,-0.1817750703955715,0.32419261772548175
2023-08-29,23,2884.TW,玉山金,0.9249564235247584,-0.9814186567740334,-0.09340384058275975,0.15847259363539398
2023-08-29,24,2308.TW,台達電,0.9212612379297405,-0.8570821391038234,0.2932926800494031,0.25648892794249295
2023-08-29,25,3017.TW,奇鋐,0.9208329915924278,-0.24455162341378517,2.1453265092526235,0.4972194003985027
2023-08-29,26,6415.TW,矽力*-KY,0.9128820097963376,-1.190497334836308,-0.5496179503247283,0.56832694950877
2023-08-29,27,6223.TWO,旺矽,0.8926974313348424,-0.565348526027845,1.120890758137385,0.43308573360724917
2023-08-29,28,2344.TW,華邦電,0.8708626493898886,-0.8558453080659549,0.19483555809378172,0.3545006933925995
2023-08-29,29,2376.TW,技嘉,0.854139286597278,0.25642812234872575,3.3879891230836634,0.5015252275551899
2023-08-29,30,1101.TW,台泥,0.7792905162707445,-0.8425958112772284,-0.09316616087077667,0.20464759134474675
2023-11-29,1,2360.TW,致茂,1.2938186768788649,-1.2971482833413268,0.15741632187996912,0.38950212746967483
2023-11-29,2,2330.TW,台積電,1.1416191636888324,-1.0261441569802328,0.44151797562419737,0.2603752317324633
2023-11-29,3,3231.TW,緯創,1.0828864513691678,-0.29437962301094506,2.4870381599556333,0.5463768508416587
2023-11-29,4,3017.TW,奇鋐,1.0599790994621276,-0.47182049360274314,1.905288247627578,0.5246152054017847
2023-11-29,5,2382.TW,廣達,0.9924013121842326,-0.33118070866909677,2.1011700826373003,0.4945928360527953
2023-11-29,6,1590.TW,亞德客-KY,0.857097480583946,-0.8081753786886673,0.2884344698455612,0.3468664170044512
2023-11-29,7,4966.TWO,譜瑞-KY,0.8340052807014393,-0.7081002438469596,0.5775058335798542,0.5081466993231282
2023-11-29,8,3653.TW,健策,0.8326516559627455,-0.6835675882203595,0.6046217566665655,0.4168903139394123
2023-11-29,9,3661.TW,世芯-KY,0.8010314856291885,0.14036533189514333,2.933148231695538,0.5680337571273765
2023-11-29,10,2377.TW,微星,0.7821928569798521,-0.6659746082041859,0.45603391156263506,0.28929080180837374
2023-11-29,11,2303.TW,聯電,0.765301517313782,-0.7092558609702854,0.26298694202472683,0.23999848910105093
2023-11-29,12,8046.TW,南電,0.7329666418463463,-0.7486195761494154,0.1178041357090478,0.37922921200823934
2023-11-29,13,2353.TW,宏碁,0.7215456247926771,-0.5913671468026233,0.5053183531336316,0.31121963737811403
2023-11-29,14,2345.TW,智邦,0.6972758346172965,-0.33054321921377755,1.2384740319699707,0.44488863857313826
2023-11-29,15,9910.TW,豐泰,0.6880748659802676,-0.6542697357203306,0.22518860903025706,0.30007255267101995
2023-11-29,16,2383.TW,台光電,0.6875828472726456,-0.3132219779228748,1.262983185418232,0.451221636977403
2023-11-29,17,3443.TW,創意,0.678906834056628,-0.1443638555333357,1.780806309651875,0.591594865699093
2023-11-29,18,2376.TW,技嘉,0.6297140782646317,-0.2222394568243851,1.3881623976295598,0.522548118200662
2023-11-29,19,2449.TW,京元電子,0.595959663676874,-0.09137932585079235,1.5905417966742808,0.34739527339944376
2023-11-29,20,3189.TW,景碩,0.5882999717874893,-0.6637983205442601,-0.08211451097290923,0.31172179944168465
2023-11-29,21,2354.TW,鴻準,0.5526689647460896,-0.5337278120801463,0.15605872524633857,0.23786267446850176
2023-11-29,22,1504.TW,東元,0.49500865462093835,-0.3084300629782814,0.6881806080373705,0.3618974744694851
2023-11-29,23,2609.TW,陽明,0.4187872845006983,-0.4871509126266918,-0.06761699131749244,0.29798454109914096
2023-11-29,24,6239.TW,力成,0.40717811924385383,-0.2591270812823814,0.5026450486295255,0.18583152705907655
2023-11-29,25,2603.TW,長榮,0.40224600971932783,-0.3208435648706573,0.3767041262254671,0.33629332886828645
2023-11-29,26,5871.TW,中租-KY,0.3956346954982328,-0.384982980055981,0.15616710192441396,0.2933784682086199
2023-11-29,27,2356.TW,英業達,0.35187058023175655,-0.1434703374479547,0.7960573920450325,0.4681322962130633
2023-11-29,28,3034.TW,聯詠,0.3402514892324433,-0.07125575510087555,0.8938000269036115,0.292228501897975
2023-11-29,29,2395.TW,研華,0.32070573115264883,-0.2504706735341974,0.31276222560806954,0.26154480896248566
2023-11-29,30,3711.TW,日月光投控,0.3032028866468531,-0.14551645430335597,0.5630654528781891,0.2625765077591271
2024-03-08,1,1303.TW,南亞,2.8032812759563766,-2.9060872500861374,-0.22402712343101028,0.1626432061927148
2024-03-08,2,1326.TW,台化,2.3002585418039656,-2.4015029348140406,-0.22105643419895527,0.15916427360293792
2024-03-08,3,8046.TW,南電,2.228419560794216,-2.3134766631611074,-0.11149255292917848,0.3068980589445264
2024-03-08,4,2408.TW,南亞科,2.0656592862023047,-2.0671899801530627,0.128970471246578,0.3111357259137343
2024-03-08,5,2345.TW,智邦,1.9295576337951963,-1.6912122455380736,0.8691691495946481,0.43909209400669463
2024-03-08,6,3481.TW,群創,1.9198693423536124,-1.977375027359784,-0.024116130902801625,0.327100261267942
2024-03-08,7,3189.TW,景碩,1.9140355979793706,-1.98370716963409,-0.08921201033149995,0.25631578692462875
2024-03-08,8,3661.TW,世芯-KY,1.898797394449705,-0.8491050193079075,3.240167366614206,0.5624413544878304
2024-03-08,9,1301.TW,台塑,1.8745018974485972,-1.9609769135468502,-0.19361678106156444,0.12472761817803579
2024-03-08,10,2303.TW,聯電,1.8285950135408444,-1.8385746443997584,0.06607360168622134,0.22070260966060948
2024-03-08,11,2382.TW,廣達,1.8118200630147765,-1.106626337442969,2.2389814562317096,0.522998560728606
2024-03-08,12,2409.TW,友達,1.808616134458139,-1.8750103836033893,-0.06685435689677344,0.28663482820919745
2024-03-08,13,3706.TW,神達,1.8070512120229572,-1.7143599102116038,0.44558354908831754,0.4217529357970522
2024-03-08,14,3037.TW,欣興,1.768431495583123,-1.7163694494941268,0.32520118225697026,0.41172245133962315
2024-03-08,15,2353.TW,宏碁,1.764548667538706,-1.5278006675085611,0.8329215372113448,0.3651635866255046
2024-03-08,16,2344.TW,華邦電,1.724669261983631,-1.701592244434751,0.21254758289848397,0.3420975764372625
2024-03-08,17,6488.TWO,環球晶,1.6518334574382727,-1.6261878624831159,0.1806472809898807,0.2505396892753422
2024-03-08,18,3231.TW,緯創,1.6222630230356745,-0.7458067830710169,2.7521708792111452,0.5786904517282876
2024-03-08,19,4966.TWO,譜瑞-KY,1.6203449687671827,-1.6250010224154139,0.20302641349908668,0.5047686558194092
2024-03-08,20,5871.TW,中租-KY,1.5890449797238007,-1.696870445098618,-0.20223520510842352,0.24695429057912852
2024-03-08,21,2308.TW,台達電,1.4590227362615533,-1.4833889781025302,0.0359463127746702,0.24631634208074402
2024-03-08,22,2354.TW,鴻準,1.4453440096268126,-1.5046795184055821,-0.07904415129914155,0.21113370549379865
2024-03-08,23,2207.TW,和泰車,1.4306268527772248,-1.4505821178576261,0.06022803171685376,0.27356717454200047
2024-03-08,24,3443.TW,創意,1.3934477318500604,-1.2779093632645753,0.5721275689841199,0.5647085370597134
