portfolio,weights,invested,ending_value,gain,return_on_invested,cagr,volatility,sharpe,max_drawdown
Grid_SP025_TW025_AZ050,"sp500 25%, 0050 25%, allianz 50%",1000000.0,12267677.867633646,11267677.867633646,11.267677867633646,0.28522944505018466,0.18954469273941849,1.851029628190505,-0.30040542687788585
Grid_SP020_TW035_AZ045,"sp500 20%, 0050 35%, allianz 45%",1000000.0,12256363.41404871,11256363.41404871,11.25636341404871,0.2851107456442339,0.18757667694628288,1.8677670782025553,-0.30600161879724697
Grid_SP030_TW015_AZ055,"sp500 30%, 0050 15%, allianz 55%",1000000.0,12240684.629618298,11240684.629618298,11.240684629618299,0.2849460971422,0.19364895725817807,1.8143972856332906,-0.2949796068697035
Grid_SP015_TW045_AZ040,"sp500 15%, 0050 45%, allianz 40%",1000000.0,12206822.23321892,11206822.23321892,11.206822233218919,0.2845898474923789,0.18781207685547946,1.8627462483154542,-0.3139820787344132
Grid_SP035_TW005_AZ060,"sp500 35%, 0050 5%, allianz 60%",1000000.0,12175658.77234985,11175658.77234985,11.17565877234985,0.28426120530922994,0.19975783849127807,1.7614299662055228,-0.29061783352909165
Grid_SP010_TW055_AZ035,"sp500 10%, 0050 55%, allianz 35%",1000000.0,12119490.444579884,11119490.444579884,11.119490444579885,0.28366695157412347,0.19024271334628198,1.8363012970014412,-0.32222309293851814
Grid_SP005_TW065_AZ030,"sp500 5%, 0050 65%, allianz 30%",1000000.0,11995152.980352584,10995152.980352584,10.995152980352584,0.2823426112484797,0.19478642416752623,1.7908827191920011,-0.3305655611888427
Grid_SP000_TW075_AZ025,"sp500 0%, 0050 75%, allianz 25%",1000000.0,11834865.070182579,10834865.070182579,10.834865070182579,0.2806170077827621,0.2012855143906096,1.7296819549035263,-0.3394599491549689
Grid_SP025_TW030_AZ045,"sp500 25%, 0050 30%, allianz 45%",1000000.0,11745198.49675443,10745198.49675443,10.74519849675443,0.27964249391806395,0.1848710265435962,1.861771591360771,-0.29541463112863264
Grid_SP030_TW020_AZ050,"sp500 30%, 0050 20%, allianz 50%",1000000.0,11744017.550469361,10744017.550469361,10.744017550469362,0.2796296145531849,0.1875943359521787,1.8374271473764778,-0.2897964594917868
Grid_SP020_TW040_AZ040,"sp500 20%, 0050 40%, allianz 40%",1000000.0,11709701.421861038,10709701.421861038,10.709701421861038,0.2792548539613795,0.1843732771289156,1.8640679948224679,-0.30262371573070035
Grid_SP035_TW010_AZ055,"sp500 35%, 0050 10%, allianz 55%",1000000.0,11706192.773852909,10706192.773852909,10.706192773852909,0.2792164809418809,0.19244874797572334,1.7936943185734142,-0.2846899700071973
Grid_SP015_TW050_AZ035,"sp500 15%, 0050 50%, allianz 35%",1000000.0,11637833.228809206,10637833.228809206,10.637833228809205,0.278466780517197,0.1861189444233379,1.8438801368222595,-0.31094132089355697
Grid_SP040_TW000_AZ060,"sp500 40%, 0050 0%, allianz 60%",1000000.0,11632098.577480856,10632098.577480856,10.632098577480857,0.27840370845838325,0.19927858290226977,1.7347450042746697,-0.2813295416598155
Grid_SP010_TW060_AZ030,"sp500 10%, 0050 60%, allianz 30%",1000000.0,11530237.540517863,10530237.540517863,10.530237540517863,0.27727871045463925,0.19004621784525966,1.8031283563849212,-0.3193633716777923
Grid_SP005_TW070_AZ025,"sp500 5%, 0050 70%, allianz 25%",1000000.0,11387885.16400591,10387885.16400591,10.38788516400591,0.2756914313188461,0.19602401804714384,1.7455739737473097,-0.3278838576317732
Grid_SP030_TW025_AZ045,"sp500 30%, 0050 25%, allianz 45%",1000000.0,11247633.685714584,10247633.685714584,10.247633685714584,0.2741100186237757,0.1826234651790808,1.8509434611744464,-0.28471377870525694
Grid_SP035_TW015_AZ050,"sp500 35%, 0050 15%, allianz 50%",1000000.0,11234996.785446279,10234996.785446279,10.23499678544628,0.2739666604911728,0.18611240172179894,1.8189492257710864,-0.27907455767730205
